Эпизод,Средняя награда,Policy Loss,Value Loss
0,-0.15856763956416128,0.8072074664272201,0.4561714895612598
10,-0.08984185646098305,0.7411153297046943,0.3935096815349297
20,0.03435631543524266,0.5813530286298615,0.3105797842356148
30,0.10728951298961242,0.47144407074578415,0.27167999525119035
40,0.20947920366056982,0.35387265242944077,0.23018272252709623
50,0.2357697300486337,0.27805647950515855,0.203341641098199
60,0.24727118574779086,0.20601357599969672,0.12747127152123522
70,0.28008286329654264,0.19521458387846222,0.14852742585134504
80,0.27455064187359335,0.1330067430457468,0.1106534220686918
90,0.285682000766871,0.09553224584536506,0.1125226316216404
100,0.2782791928009397,0.11134660284351681,0.11940702873907591
